observed_LST,predicted_LST_3kmCV,residual,x_utm,y_utm,municipality
33.102192,32.21949937043394,0.8826926295660655,291315.0,672705.0,Patikul
33.608265,31.446600368975005,2.1616646310249976,291615.0,672705.0,Patikul
34.820282,33.71094317419647,1.1093388258035262,291915.0,672705.0,Patikul
35.672752,35.193977439828224,0.4787745601717788,292215.0,672705.0,Patikul
34.18969,34.38559983829616,-0.19590983829615993,292515.0,672705.0,Patikul
34.554447,33.23198125805662,1.3224657419433825,292815.0,672705.0,Patikul
32.58142,33.91414874344097,-1.332728743440967,293115.0,672705.0,
32.156963,32.52537610484083,-0.3684131048408332,280515.0,672405.0,Patikul
31.180563,31.88059441662111,-0.7000314166211119,280815.0,672405.0,Patikul
31.53903,31.850104884792206,-0.31107488479220535,281115.0,672405.0,Patikul
31.007788,31.504981378647102,-0.49719337864710056,281415.0,672405.0,Patikul
31.458616,32.221949997994,-0.7633339979940033,281715.0,672405.0,Patikul
31.628077,33.259475485586904,-1.631398485586903,282015.0,672405.0,Patikul
31.771898,33.02845354111846,-1.256555541118459,282315.0,672405.0,Patikul
31.659142,31.73703646241018,-0.07789446241018183,282615.0,672405.0,Patikul
31.32727,31.786195612920235,-0.45892561292023615,282915.0,672405.0,Patikul
31.05406,31.79707849473485,-0.7430184947348515,283215.0,672405.0,Patikul
32.97217,32.97550109776543,-0.0033310977654323892,283515.0,672405.0,Patikul
31.73223,32.05585220463454,-0.32362220463453895,283815.0,672405.0,Patikul
33.36867,33.86669579761721,-0.4980257976172098,284115.0,672405.0,Patikul
34.872967,35.16979194292545,-0.29682494292544703,284415.0,672405.0,Patikul
32.43595,32.90587379686314,-0.46992379686314223,284715.0,672405.0,Patikul
33.826237,35.913338706741676,-2.0871017067416773,285015.0,672405.0,Patikul
30.830832,31.174373723935165,-0.34354172393516436,285315.0,672405.0,Patikul
30.390411,32.52503173559153,-2.1346207355915325,285615.0,672405.0,Patikul
30.723255,34.43123032677405,-3.707975326774047,285915.0,672405.0,Patikul
31.40619,33.55124046945794,-2.1450504694579386,286215.0,672405.0,Patikul
31.133202,33.39179084047233,-2.2585888404723313,286515.0,672405.0,Patikul
29.714148,32.26728196808191,-2.5531339680819087,286815.0,672405.0,Patikul
30.17696,33.04355808072359,-2.866598080723591,287115.0,672405.0,Patikul
30.819729,32.755285862049334,-1.935556862049335,287415.0,672405.0,Patikul
31.03162,31.652163738591472,-0.620543738591472,287715.0,672405.0,Patikul
30.853668,31.01949325138469,-0.1658252513846925,288015.0,672405.0,Patikul
31.354982,31.854062570351577,-0.4990805703515768,288315.0,672405.0,Patikul
32.1962,31.969885392635415,0.2263146073645821,288615.0,672405.0,Patikul
34.24852,36.13365662417795,-1.885136624177953,288915.0,672405.0,Patikul
31.289444,31.54000700961624,-0.2505630096162399,289215.0,672405.0,Patikul
32.299934,33.268716572942466,-0.968782572942466,289515.0,672405.0,Patikul
32.276485,33.28332067982485,-1.006835679824846,289815.0,672405.0,Patikul
33.023582,34.19572355542957,-1.172141555429576,290115.0,672405.0,Patikul
33.154343,34.5413535665147,-1.3870105665147037,290415.0,672405.0,Patikul
34.04637,34.02046597609652,0.025904023903486006,290715.0,672405.0,Patikul
32.78937,31.712946909158894,1.0764230908411037,291015.0,672405.0,Patikul
33.56999,32.22734850433475,1.342641495665248,291315.0,672405.0,Patikul
33.60493,32.15188048597648,1.453049514023526,291615.0,672405.0,Patikul
34.47334,32.36275554587684,2.1105844541231633,291915.0,672405.0,Patikul
36.119278,34.67412882592473,1.4451491740752687,292215.0,672405.0,Patikul
35.253548,32.48025507740797,2.7732929225920344,292515.0,672405.0,Patikul
35.451458,35.558828151526015,-0.10737015152601259,292815.0,672405.0,Patikul
35.49761,37.12485474408902,-1.627244744089019,293115.0,672405.0,Patikul
31.974588,34.03904839453617,-2.064460394536166,280515.0,672105.0,Patikul
31.7506,31.653262591497224,0.09733740850277428,280815.0,672105.0,Patikul
31.868786,31.535337432243505,0.3334485677564949,281115.0,672105.0,Patikul
31.914452,31.57657744413273,0.3378745558672698,281415.0,672105.0,Patikul
32.515003,32.47960241501602,0.03540058498398224,281715.0,672105.0,Patikul
31.452612,32.325221855452774,-0.8726098554527759,282015.0,672105.0,Patikul
31.12043,31.62966784075137,-0.5092378407513714,282315.0,672105.0,Patikul
30.595802,30.053072862850232,0.5427291371497667,282615.0,672105.0,Patikul
30.64249,31.730938331455754,-1.088448331455755,282915.0,672105.0,Patikul
30.8554,32.027487953665606,-1.1720879536656064,283215.0,672105.0,Patikul
32.1271,33.302104587579024,-1.175004587579025,283515.0,672105.0,Patikul
32.533054,32.896487533278645,-0.3634335332786449,283815.0,672105.0,Patikul
32.747524,33.01088704858256,-0.263363048582562,284115.0,672105.0,Patikul
34.246212,34.138042835270845,0.10816916472915494,284415.0,672105.0,Patikul
32.938717,32.613627753607936,0.3250892463920607,284715.0,672105.0,Patikul
33.11136,34.08938365078828,-0.9780236507882805,285015.0,672105.0,Patikul
32.16932,32.528471099449725,-0.35915109944972556,285315.0,672105.0,Patikul
29.80669,31.80725609659266,-2.00056609659266,285615.0,672105.0,Patikul
30.251368,33.19805091520861,-2.946682915208612,285915.0,672105.0,Patikul
31.087908,32.70194394230593,-1.6140359423059323,286215.0,672105.0,Patikul
30.569956,32.35301632927495,-1.7830603292749494,286515.0,672105.0,Patikul
29.41153,31.463663663788843,-2.052133663788844,286815.0,672105.0,Patikul
29.915186,32.17050517626183,-2.2553191762618283,287115.0,672105.0,Patikul
29.485836,31.62618776296027,-2.1403517629602717,287415.0,672105.0,Patikul
29.1755,30.750653954991172,-1.5751539549911726,287715.0,672105.0,Patikul
30.263258,31.7859989228129,-1.5227409228129005,288015.0,672105.0,Patikul
30.895313,30.92026681492391,-0.024953814923907913,288315.0,672105.0,Patikul
31.73276,31.46116411250949,0.2715958874905091,288615.0,672105.0,Patikul
32.13096,31.945670087099636,0.185289912900366,288915.0,672105.0,Patikul
32.487293,32.66081780280391,-0.17352480280391092,289215.0,672105.0,Patikul
31.52325,31.7897169401492,-0.2664669401492006,289515.0,672105.0,Patikul
32.449383,32.33368269570019,0.11570030429980704,289815.0,672105.0,Patikul
32.66474,32.4113660974318,0.2533739025681996,290115.0,672105.0,Patikul
33.0447,31.64992714146979,1.3947728585302102,290415.0,672105.0,Patikul
33.297836,32.49674435242132,0.80109164757868,290715.0,672105.0,Patikul
33.480766,34.23547597513636,-0.7547099751363575,291015.0,672105.0,Patikul
32.622974,33.25363081878242,-0.6306568187824197,291315.0,672105.0,Patikul
33.28247,32.599993192508585,0.6824768074914189,291615.0,672105.0,Patikul
33.372486,31.53043374206316,1.8420522579368424,291915.0,672105.0,Patikul
35.082363,34.35021093350305,0.7321520664969512,292215.0,672105.0,Patikul
35.55953,33.89755453015561,1.6619754698443927,292515.0,672105.0,Patikul
34.613678,33.805063757420164,0.8086142425798357,292815.0,672105.0,Patikul
34.677673,34.37591893728928,0.3017540627107209,293115.0,672105.0,Patikul
34.848255,32.92348058255299,1.9247744174470114,293415.0,672105.0,Patikul
35.021122,34.588234262768886,0.4328877372311126,293715.0,672105.0,Patikul
36.059982,35.23825363691305,0.8217283630869474,294015.0,672105.0,Patikul
33.12107,34.18263070283412,-1.0615607028341145,295215.0,672105.0,Patikul
33.313667,34.73625278851211,-1.4225857885121087,295515.0,672105.0,Patikul
31.1734,31.349912867791268,-0.17651286779126707,280515.0,671805.0,Patikul
30.589928,31.802201656200186,-1.2122736562001855,280815.0,671805.0,Patikul
32.614574,32.713077463347396,-0.09850346334739868,281115.0,671805.0,Patikul
31.73013,31.15600801927584,0.5741219807241578,281415.0,671805.0,Patikul
32.16704,31.932301119741886,0.23473888025811362,281715.0,671805.0,Patikul
31.33133,31.772308445780588,-0.440978445780587,282015.0,671805.0,Patikul
30.532578,31.89940915965424,-1.3668311596542395,282315.0,671805.0,Patikul
30.559782,30.986819499449663,-0.4270374994496642,282615.0,671805.0,Patikul
30.645767,30.341930461424653,0.30383653857534654,282915.0,671805.0,Patikul
32.572403,33.44184069945383,-0.869437699453826,283215.0,671805.0,Patikul
32.546413,32.296323832538214,0.25008916746178755,283515.0,671805.0,Patikul
32.63453,32.77765694869043,-0.14312694869042986,283815.0,671805.0,Patikul
33.08618,32.477037498878694,0.6091425011213047,284115.0,671805.0,Patikul
34.49422,33.24635499650257,1.2478650034974308,284415.0,671805.0,Patikul
32.110184,31.363755274426868,0.7464287255731286,284715.0,671805.0,Patikul
33.415325,33.35284791110003,0.06247708889997483,285015.0,671805.0,Patikul
31.156694,33.606228518172436,-2.4495345181724346,285315.0,671805.0,Patikul
30.478706,32.09421173160756,-1.6155057316075592,285615.0,671805.0,Patikul
30.089716,32.922544121742874,-2.8328281217428746,285915.0,671805.0,Patikul
30.595936,35.00240653323983,-4.40647053323983,286215.0,671805.0,Patikul
31.735527,33.26385872560974,-1.5283317256097355,286515.0,671805.0,Patikul
