LST_MAM_median_C,valid_obs,LST_MAM_SD_C,ST_QA_median_K,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m,x_utm,y_utm,row,col,longitude,latitude,block1km_x,block1km_y,block1km_id,block2km_x,block2km_y,block2km_id,block3km_x,block3km_y,block3km_id,block5km_x,block5km_y,block5km_id,municipality
34.38113,45.0,5.136226,5.2335515,0.6173829,-0.16488722,0.16488722,-0.079411194,0.0,10.0,9.0,4.0,-1.0,1.2246469e-16,161.55495,50.0,286515.0,673005.0,25,735,121.07102393695912,6.085210468710418,286,673,286_673,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
32.328403,41.0,4.968174,5.8541703,0.86356336,-0.4987726,0.4987726,-0.4394921,0.0,10.0,14.0,4.0,-0.43837115,-0.89879405,134.16408,31.622776,286815.0,673005.0,25,745,121.07373359218522,6.085220145854535,286,673,286_673,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
32.77346,45.0,5.2696595,5.363804,0.80113786,-0.37727344,0.37727344,-0.30010998,0.0,10.0,7.0,4.0,0.9702957,0.2419219,134.16408,41.231056,287115.0,673005.0,25,755,121.07644325179803,6.0852298094158055,287,673,287_673,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
33.778046,46.0,5.704775,5.2890353,0.7596298,-0.29826728,0.29826728,-0.22766225,0.0,10.0,9.0,3.0,0.5591929,-0.82903755,152.97058,44.72136,287415.0,673005.0,25,765,121.07915291579141,6.08523945939412,287,673,287_673,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
33.45368,43.0,5.964003,4.6489367,0.81571317,-0.4246469,0.4246469,-0.35082337,0.0,10.0,7.0,2.0,1.0,0.0,90.0,20.0,287715.0,673005.0,25,775,121.08186258415921,6.085249095789372,287,673,287_673,143,336,143_336,95,224,95_224,57,134,57_134,Patikul
33.664955,40.0,5.833073,4.7275257,0.82922435,-0.4686754,0.4686754,-0.3850923,0.06,10.0,7.0,2.0,0.43837115,-0.89879405,60.0,10.0,288015.0,673005.0,25,785,121.08457225689521,6.085258718601455,288,673,288_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
31.941275,41.0,5.283495,5.650123,0.7159959,-0.3210634,0.3210634,-0.23274732,0.01,10.0,13.0,6.0,0.777146,-0.6293204,67.08204,10.0,288315.0,673005.0,25,795,121.08728193399332,6.085268327830259,288,673,288_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
32.944214,43.0,5.389377,5.618637,0.6336758,-0.2654454,0.2654454,-0.16391659,0.0,10.0,14.0,3.0,0.5591929,-0.82903755,108.16654,30.0,288615.0,673005.0,25,805,121.08999161544735,6.085277923475678,288,673,288_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
32.620174,44.0,4.8231974,4.7944565,0.8330671,-0.43026224,0.43026224,-0.36452535,0.0,10.0,15.0,4.0,0.8910065,0.4539905,180.0,60.0,288915.0,673005.0,25,815,121.09270130125114,6.085287505537608,288,673,288_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
34.233635,44.0,5.0191545,4.463176,0.8417223,-0.4092251,0.4092251,-0.35352552,0.0,10.0,25.0,5.0,0.70710677,0.70710677,268.32816,80.0,289215.0,673005.0,25,825,121.09541099139852,6.08529707401594,289,673,289_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
32.977036,44.0,5.225298,4.34394,0.8288495,-0.38667667,0.38667667,-0.3239382,0.0,10.0,25.0,2.0,0.8910065,-0.4539905,330.0,100.0,289515.0,673005.0,25,835,121.09812068588333,6.0853066289105655,289,673,289_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
33.075207,47.0,4.8965735,4.594017,0.80750656,-0.38145298,0.38145298,-0.3193545,0.0,10.0,31.0,6.0,0.94551855,0.32556817,390.0,120.0,289815.0,673005.0,25,845,121.10083038469944,6.085316170221382,289,673,289_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
33.71236,48.0,5.07592,4.3772707,0.7737298,-0.35968512,0.35968512,-0.28718314,0.23,10.0,27.0,2.0,-1.8369701e-16,-1.0,421.07007,130.38405,290115.0,673005.0,25,855,121.10354008784064,6.085325697948279,290,673,290_673,145,336,145_336,96,224,96_224,58,134,58_134,Patikul
33.56032,45.0,4.783084,4.298478,0.77585816,-0.34967288,0.34967288,-0.26796544,0.0,10.0,29.0,3.0,1.0,0.0,450.9989,150.0,290415.0,673005.0,25,865,121.10624979530078,6.085335212091153,290,673,290_673,145,336,145_336,96,224,96_224,58,134,58_134,Patikul
34.55695,47.0,5.590188,4.251963,0.7320638,-0.2663331,0.2663331,-0.19109933,0.0,10.0,27.0,4.0,0.9702957,-0.2419219,531.6014,167.63054,290715.0,673005.0,25,875,121.10895950707372,6.0853447126498965,290,673,290_673,145,336,145_336,96,224,96_224,58,134,58_134,Patikul
34.057945,47.0,5.544679,4.2926073,0.7444554,-0.26521713,0.26521713,-0.20004526,0.0,10.0,25.0,3.0,0.82903755,0.5591929,553.17267,180.27756,291015.0,673005.0,25,885,121.1116692231533,6.085354199624406,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
33.511158,46.0,5.290034,4.3374796,0.78041,-0.32687286,0.32687286,-0.2559133,0.0,10.0,28.0,1.0,0.70710677,0.70710677,560.4462,180.0,291315.0,673005.0,25,895,121.11437894353334,6.085363673014574,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
33.034756,47.0,4.9824314,4.3602304,0.78498745,-0.3462955,0.3462955,-0.27786988,0.0,10.0,28.0,5.0,0.92718387,-0.37460658,540.0,170.29387,291615.0,673005.0,25,905,121.11708866820769,6.085373132820294,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
36.05257,45.0,6.0354366,4.3981442,0.6490675,-0.16579142,0.16579142,-0.08920944,0.0,10.0,26.0,6.0,0.94551855,-0.32556817,563.6488,181.1077,291915.0,673005.0,25,915,121.11979839717016,6.085382579041463,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
34.42884,46.0,5.5725756,4.516249,0.77054286,-0.3245525,0.3245525,-0.26219234,0.0,10.0,22.0,4.0,1.0,0.0,375.89893,123.69317,292215.0,673005.0,25,925,121.12250813041462,6.085392011677974,292,673,292_673,146,336,146_336,97,224,97_224,58,134,58_134,Patikul
34.278416,40.0,4.083708,4.6005516,0.7837791,-0.38756907,0.38756907,-0.3093371,0.1,10.0,16.0,2.0,6.123234e-17,1.0,127.27922,36.05551,292515.0,673005.0,25,935,121.1252178679349,6.085401430729721,292,673,292_673,146,336,146_336,97,224,97_224,58,134,58_134,Patikul
33.024605,41.0,5.9716253,4.6061707,0.82524717,-0.4012486,0.4012486,-0.33075988,0.0,10.0,19.0,4.0,-0.43837115,-0.89879405,258.06976,78.10249,280515.0,672705.0,35,535,121.01684170658272,6.082301821830182,280,672,280_672,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.889008,45.0,5.788199,4.404361,0.8168709,-0.37304178,0.37304178,-0.3108315,0.0,10.0,23.0,7.0,0.1391731,-0.99026805,523.9275,166.43317,280815.0,672705.0,35,545,121.01955125921664,6.082311766141799,280,672,280_672,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.156982,45.0,5.612075,4.5145273,0.8233105,-0.41475898,0.41475898,-0.3542431,0.0,10.0,28.0,3.0,-0.5591929,-0.82903755,636.3961,203.96078,281115.0,672705.0,35,555,121.02226081636036,6.08232169687885,281,672,281_672,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.539957,45.0,5.375755,4.33802,0.8013627,-0.3128849,0.3128849,-0.2532617,0.0,10.0,28.0,3.0,0.5591929,0.82903755,670.8204,212.13203,281415.0,672705.0,35,565,121.0249703780078,6.082331614041228,281,672,281_672,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.52195,42.0,5.9372826,4.261828,0.8263573,-0.3264325,0.3264325,-0.27204394,0.0,10.0,40.0,1.0,-0.70710677,0.70710677,759.5393,243.3105,281715.0,672705.0,35,575,121.02767994415271,6.082341517628819,281,672,281_672,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
