x_utm,y_utm,municipality,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,block1km_id,block2km_id,block3km_id,block5km_id,MAM_LST_C,MAM_valid_obs,MAM_NDVI,MAM_NDBI,MAM_BSI,JJA_LST_C,JJA_valid_obs,JJA_NDVI,JJA_NDBI,JJA_BSI,DJF_LST_C,DJF_valid_obs,DJF_NDVI,DJF_NDBI,DJF_BSI,GHSL_built_fraction_30m_corrected
278415.0,669105.0,Jolo,50.0,2.0,2.0,-0.8910065,-0.4539905,540.0,278_669,139_334,92_223,55_133,41.77949,40.0,0.14934804,0.11814338,0.19946763,43.41843,29.0,0.15005943,0.12741455,0.19423014,41.116394,28.0,0.147019,0.15183905,0.21470182,0.1899999976158142
278715.0,669105.0,Jolo,50.0,2.0,1.0,0.70710677,0.70710677,603.73834,278_669,139_334,92_223,55_133,43.238983,38.0,0.27384004,0.025374312,0.097199045,44.115707,30.0,0.28440917,0.036489956,0.09086998,40.825863,26.0,0.26398975,0.041668043,0.11570846,0.6200000047683716
279015.0,669105.0,Jolo,50.0,6.0,4.0,-0.43837115,-0.89879405,785.1751,279_669,139_334,93_223,55_133,42.30245,34.0,0.31454605,0.017965145,0.10434312,43.473118,28.0,0.32405552,0.014298652,0.10204374,39.72868,26.0,0.29545343,0.019771785,0.11861213,0.3199999928474426
279315.0,669105.0,Jolo,50.0,13.0,0.0,1.0,0.0,930.48376,279_669,139_334,93_223,55_133,42.430622,35.0,0.40546343,-0.0006716463,0.05354814,44.17723,27.0,0.43026808,-0.00026412148,0.056004543,40.677177,26.0,0.45189202,-0.026527708,0.05299902,0.25999999046325684
279615.0,669105.0,Jolo,10.0,29.0,1.0,-0.70710677,-0.70710677,1074.1509,279_669,139_334,93_223,55_133,38.629784,30.0,0.6523325,-0.17111427,-0.09537381,38.746,27.0,0.58856463,-0.16963577,-0.09402479,35.69029,25.0,0.7068046,-0.22813474,-0.16804339,0.10000000149011612
279915.0,669105.0,Patikul,10.0,31.0,3.0,-0.70710677,0.70710677,1273.4991,279_669,139_334,93_223,55_133,35.608253,31.0,0.68713444,-0.24214223,-0.15740025,35.72105,29.0,0.7351325,-0.28313723,-0.2037372,33.54548,24.0,0.7136597,-0.27794772,-0.20395517,0.030000001192092896
280215.0,669105.0,Patikul,10.0,37.0,4.0,-0.70710677,-0.70710677,1481.8906,280_669,140_334,93_223,56_133,37.643684,32.0,0.5805106,-0.20231558,-0.103055805,38.822903,26.0,0.6144683,-0.23223656,-0.13929933,36.363636,23.0,0.64997846,-0.24365336,-0.15158872,0.0
280515.0,669105.0,Patikul,50.0,53.0,0.0,1.0,0.0,1659.518,280_669,140_334,93_223,56_133,38.68447,31.0,0.4935693,-0.07435454,-0.012636666,39.692787,27.0,0.50604606,-0.0861702,-0.023974234,36.01158,23.0,0.5169778,-0.08133796,-0.006249881,0.6200000047683716
280815.0,669105.0,Patikul,10.0,66.0,8.0,-0.2419219,-0.9702957,1868.6893,280_669,140_334,93_223,56_133,36.44909,28.0,0.77549267,-0.33030218,-0.24355255,36.368763,22.0,0.8354038,-0.34643966,-0.295322,32.019333,25.0,0.82855785,-0.38286245,-0.31256804,0.030000001192092896
281115.0,669105.0,Patikul,10.0,82.0,1.0,-0.70710677,0.70710677,2100.0,281_669,140_334,93_223,56_133,33.19855,31.0,0.72179043,-0.2561066,-0.18117782,34.07869,28.0,0.77852535,-0.31960088,-0.25255805,31.373327,24.0,0.81568205,-0.3326907,-0.27126572,0.0
281415.0,669105.0,Patikul,10.0,78.0,4.0,-1.8369701000000003e-16,-1.0,2346.9128,281_669,140_334,93_223,56_133,34.05818,30.0,0.5177704,-0.12081477,-0.04686552,34.083817,27.0,0.5266228,-0.14133565,-0.0903069,31.557901,18.0,0.5526514,-0.13164486,-0.07275764,0.17999999225139618
281715.0,669105.0,Patikul,10.0,95.0,4.0,-0.70710677,-0.70710677,2604.995,281_669,140_334,93_223,56_133,31.66557,28.0,0.8259568,-0.38437858,-0.3143782,33.143864,27.0,0.8467032,-0.42342368,-0.36658975,31.94072,22.0,0.8405867,-0.40727377,-0.3562492,0.0
282015.0,669105.0,Patikul,10.0,113.0,3.0,-0.309017,-0.95105654,2871.2366,282_669,141_334,94_223,56_133,30.38552,29.0,0.8403995,-0.40079156,-0.3510008,32.053513,25.0,0.87169075,-0.44340014,-0.39787042,29.97194,21.0,0.8587039,-0.42176917,-0.37593824,0.0
282315.0,669105.0,Patikul,10.0,129.0,7.0,0.76604444,-0.64278764,3118.9902,282_669,141_334,94_223,56_133,30.132587,29.0,0.82521087,-0.365735,-0.3114072,31.260534,24.0,0.84968966,-0.39346606,-0.34400123,30.28298,22.0,0.84285694,-0.37614852,-0.33331543,0.0
282615.0,669105.0,Patikul,10.0,153.0,5.0,-0.190809,-0.98162717,3341.8708,282_669,141_334,94_223,56_133,30.153095,27.0,0.84273815,-0.38796067,-0.3416266,31.291296,23.0,0.85796726,-0.42229137,-0.37062413,29.604502,22.0,0.8521163,-0.41454393,-0.36442363,0.0
